class,type,cell,microscope,filename,filetype,filepath,id_file,date,id_scene,pixel_size_z,pixel_size_y,pixel_size_x,id_scene_count,z,y,x,filepath_segmented,bad_segmentation,id_segment,segmented_filename
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-11-Airyscan Processing-13.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-11-Airyscan Processing-13.czi,43,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,37.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-43_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-43_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-12-Airyscan Processing-14.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-12-Airyscan Processing-14.czi,44,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,34.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-44_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-44_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-13-Airyscan Processing-15.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-13-Airyscan Processing-15.czi,45,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,34.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-45_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-45_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-14-Airyscan Processing-16.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-14-Airyscan Processing-16.czi,46,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,47.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-46_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-46_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-14-Airyscan Processing-16.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-14-Airyscan Processing-16.czi,46,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,47.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-46_idscene-0.npz,0,1.0,NS_Wildtype_WT_Airyscan_all_idfile-46_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-15-Airyscan Processing-17.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-15-Airyscan Processing-17.czi,47,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,47.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-47_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-47_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-16-Airyscan Processing-18.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-16-Airyscan Processing-18.czi,48,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,37.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-48_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-48_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-17-Airyscan Processing-19.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-17-Airyscan Processing-19.czi,49,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,37.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-49_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-49_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-18-Airyscan Processing-20.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-18-Airyscan Processing-20.czi,50,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,31.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-50_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-50_idscene-0.npz
Wildtype,WT,NS,Airyscan,WT-NSC-A3-rCtcf-7X-19-Airyscan Processing-21.czi,czi,data/NS_Wildtype/Airyscan-22.09.23/WT-NSC-A3-rCtcf-7X-19-Airyscan Processing-21.czi,51,original,Image:0,0.18,0.0489443525157811,0.0489443525157811,0,44.0,272.0,272.0,data/segmented/NS_Wildtype_WT_Airyscan_all_idfile-51_idscene-0.npz,0,0.0,NS_Wildtype_WT_Airyscan_all_idfile-51_idscene-0.npz
